x_2,x_T,x_T1,x_T2,x_T3,x_T4,x_T5,x_T6,x_T7,x_T8,x_T9,x_T10
0.588344459,0.704903333,0.757264462,0.648184858,0.846270599,0.442341075,0.917840052,0.226401273,0.658164867,0.818919631,0.516492026,0.92069473
0.879779994,0.757264462,0.648184858,0.846270599,0.442341075,0.917840052,0.226401273,0.658164867,0.818919631,0.516492026,0.92069473,0.223330263
0.346579211,0.648184858,0.846270599,0.442341075,0.917840052,0.226401273,0.658164867,0.818919631,0.516492026,0.92069473,0.223330263,0.647084245
0.834321903,0.846270599,0.442341075,0.917840052,0.226401273,0.658164867,0.818919631,0.516492026,0.92069473,0.223330263,0.647084245,0.822238637
0.471295746,0.442341075,0.917840052,0.226401273,0.658164867,0.818919631,0.516492026,0.92069473,0.223330263,0.647084245,0.822238637,0.537222151
0.912816333,0.917840052,0.226401273,0.658164867,0.818919631,0.516492026,0.92069473,0.223330263,0.647084245,0.822238637,0.537222151,0.912539705
0.244727217,0.226401273,0.658164867,0.818919631,0.516492026,0.92069473,0.223330263,0.647084245,0.822238637,0.537222151,0.912539705,0.256960684
0.684140711,0.658164867,0.818919631,0.516492026,0.92069473,0.223330263,0.647084245,0.822238637,0.537222151,0.912539705,0.256960684,0.707711479
0.768350135,0.818919631,0.516492026,0.92069473,0.223330263,0.647084245,0.822238637,0.537222151,0.912539705,0.256960684,0.707711479,0.751754007
0.643825707,0.516492026,0.92069473,0.223330263,0.647084245,0.822238637,0.537222151,0.912539705,0.256960684,0.707711479,0.751754007,0.660283606
0.817240085,0.92069473,0.223330263,0.647084245,0.822238637,0.537222151,0.912539705,0.256960684,0.707711479,0.751754007,0.660283606,0.828337566
0.548280472,0.223330263,0.647084245,0.822238637,0.537222151,0.912539705,0.256960684,0.707711479,0.751754007,0.660283606,0.828337566,0.485931994
0.9048434,0.647084245,0.822238637,0.537222151,0.912539705,0.256960684,0.707711479,0.751754007,0.660283606,0.828337566,0.485931994,0.93224615
0.265324346,0.822238637,0.537222151,0.912539705,0.256960684,0.707711479,0.751754007,0.660283606,0.828337566,0.485931994,0.93224615,0.183875942
0.723913029,0.537222151,0.912539705,0.256960684,0.707711479,0.751754007,0.660283606,0.828337566,0.485931994,0.93224615,0.183875942,0.561410135
0.700163108,0.912539705,0.256960684,0.707711479,0.751754007,0.660283606,0.828337566,0.485931994,0.93224615,0.183875942,0.561410135,0.894967009
0.778944523,0.256960684,0.707711479,0.751754007,0.660283606,0.828337566,0.485931994,0.93224615,0.183875942,0.561410135,0.894967009,0.339839205
0.608832704,0.707711479,0.751754007,0.660283606,0.828337566,0.485931994,0.93224615,0.183875942,0.561410135,0.894967009,0.339839205,0.831577806
0.857797556,0.751754007,0.660283606,0.828337566,0.485931994,0.93224615,0.183875942,0.561410135,0.894967009,0.339839205,0.831577806,0.485634813
0.423001797,0.660283606,0.828337566,0.485931994,0.93224615,0.183875942,0.561410135,0.894967009,0.339839205,0.831577806,0.485634813,0.920698455
0.889268239,0.828337566,0.485931994,0.93224615,0.183875942,0.561410135,0.894967009,0.339839205,0.831577806,0.485634813,0.920698455,0.226197853
0.352952241,0.485931994,0.93224615,0.183875942,0.561410135,0.894967009,0.339839205,0.831577806,0.485634813,0.920698455,0.226197853,0.652009373
0.840998058,0.93224615,0.183875942,0.561410135,0.894967009,0.339839205,0.831577806,0.485634813,0.920698455,0.226197853,0.652009373,0.817367509
0.453547732,0.183875942,0.561410135,0.894967009,0.339839205,0.831577806,0.485634813,0.920698455,0.226197853,0.652009373,0.817367509,0.545302012
0.910407434,0.561410135,0.894967009,0.339839205,0.831577806,0.485634813,0.920698455,0.226197853,0.652009373,0.817367509,0.545302012,0.90584244
0.24717286,0.894967009,0.339839205,0.831577806,0.485634813,0.920698455,0.226197853,0.652009373,0.817367509,0.545302012,0.90584244,0.291362312
0.691906972,0.339839205,0.831577806,0.485634813,0.920698455,0.226197853,0.652009373,0.817367509,0.545302012,0.90584244,0.291362312,0.761424253
0.752055153,0.831577806,0.485634813,0.920698455,0.226197853,0.652009373,0.817367509,0.545302012,0.90584244,0.291362312,0.761424253,0.67673821
0.691922326,0.485634813,0.920698455,0.226197853,0.652009373,0.817367509,0.545302012,0.90584244,0.291362312,0.761424253,0.67673821,0.80043684
0.772558968,0.920698455,0.226197853,0.652009373,0.817367509,0.545302012,0.90584244,0.291362312,0.761424253,0.67673821,0.80043684,0.553106475
0.607119583,0.226197853,0.652009373,0.817367509,0.545302012,0.90584244,0.291362312,0.761424253,0.67673821,0.80043684,0.553106475,0.92431701
0.882734896,0.652009373,0.817367509,0.545302012,0.90584244,0.291362312,0.761424253,0.67673821,0.80043684,0.553106475,0.92431701,0.218023176
0.331522758,0.817367509,0.545302012,0.90584244,0.291362312,0.761424253,0.67673821,0.80043684,0.553106475,0.92431701,0.218023176,0.633446715
0.82261021,0.545302012,0.90584244,0.291362312,0.761424253,0.67673821,0.80043684,0.553106475,0.92431701,0.218023176,0.633446715,0.84578115
0.489538323,0.90584244,0.291362312,0.761424253,0.67673821,0.80043684,0.553106475,0.92431701,0.218023176,0.633446715,0.84578115,0.450729267
0.933228785,0.291362312,0.761424253,0.67673821,0.80043684,0.553106475,0.92431701,0.218023176,0.633446715,0.84578115,0.450729267,0.912570196
0.186241419,0.761424253,0.67673821,0.80043684,0.553106475,0.92431701,0.218023176,0.633446715,0.84578115,0.450729267,0.912570196,0.258393226
0.55918622,0.67673821,0.80043684,0.553106475,0.92431701,0.218023176,0.633446715,0.84578115,0.450729267,0.912570196,0.258393226,0.709630421
0.904899628,0.80043684,0.553106475,0.92431701,0.218023176,0.633446715,0.84578115,0.450729267,0.912570196,0.258393226,0.709630421,0.752538794
0.258856499,0.553106475,0.92431701,0.218023176,0.633446715,0.84578115,0.450729267,0.912570196,0.258393226,0.709630421,0.752538794,0.656353325
